date,amb_min_06z_raw,wxm_min_06z_raw,call_min_c,call_bucket,call_margin_c,fcst_d1_min,settle_min_c,final_corr_min,call_hit,final_hit,rain_pre06,rain_2h,rain_after06,n_obs_day,status
2026-08-19,,,,,,16.9,17.0,,,,1,0,0,195,final
2026-08-20,16.7,16.33,,,,15.0,16.0,,,,0,0,1,575,final
2026-08-21,14.4,14.8,14.45,14,0.05,12.6,14.0,14.45,1,1,0,0,0,576,final
2026-08-22,12.6,12.9,12.39,12,0.11,11.6,13.0,12.39,0,0,1,0,0,574,final
2026-08-23,13.6,14.7,14.05,14,0.45,13.1,14.0,14.05,1,1,0,0,0,576,final
2026-08-24,13.6,13.8,13.55,14,0.05,12.8,13.0,13.55,0,0,0,0,0,576,final
2026-08-25,15.7,15.86,15.54,16,0.04,16.1,16.0,15.54,1,1,0,0,0,574,final
2026-08-26,18.8,19.2,18.77,19,0.27,17.4,18.0,18.77,0,0,1,1,0,572,final
2026-08-27,20.0,19.67,19.44,19,0.06,17.6,19.0,19.23,1,1,1,1,1,575,final
2026-08-28,16.0,16.0,15.72,16,0.22,15.3,16.0,15.72,1,1,0,0,1,575,final
2026-08-29,17.6,18.1,17.6,18,0.1,15.7,18.0,16.95,1,0,1,0,1,574,final
2026-08-30,16.7,16.6,16.43,16,0.07,15.8,17.0,16.43,0,0,1,0,1,576,final
2026-08-31,15.3,15.2,15.06,15,0.44,14.4,15.0,15.06,1,1,1,0,1,575,final
2026-09-01,14.1,14.2,13.95,14,0.45,12.6,14.0,13.95,1,1,0,0,0,574,final
2026-09-02,17.1,16.9,16.8,17,0.3,14.1,17.0,16.78,1,1,0,0,1,575,final
2026-09-03,19.1,19.1,18.79,19,0.29,18.2,19.0,18.79,1,1,0,0,0,574,final
2026-09-04,20.4,20.4,19.96,20,0.46,15.0,,,,,0,0,,209,called
